Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,930.960022,953.223999,928.267029,932.351013,882.697449,537743
2018-04-19,931.857971,944.426025,928.312012,941.911987,891.749268,234660
2018-04-20,932.307007,938.815002,918.661011,922.745972,873.603943,244300
2018-04-23,923.958008,940.296021,916.596008,928.849976,879.382813,432892
2018-04-24,928.177002,952.416016,925.572998,943.797974,893.534790,581424
2018-04-25,947.073975,967.767029,931.947021,956.276001,905.348267,831048
2018-04-26,964.401001,964.445984,940.656006,956.007019,905.093628,500903
2018-04-27,960.541016,969.473022,950.531006,952.596008,901.864258,412108
2018-04-30,959.687988,961.393005,943.213989,951.831970,901.140869,327072
2018-05-02,954.526001,961.304016,926.156982,935.807983,885.970276,357926
2018-05-03,935.448975,940.341003,917.942993,924.676025,875.431213,484476
2018-05-04,940.835022,940.835022,914.979980,929.075012,879.595886,486682
2018-05-07,935.448975,957.892029,926.965027,954.750000,903.903564,519141
2018-05-08,956.546021,962.291016,943.169006,954.346008,903.521057,373143
2018-05-09,956.546021,966.375977,950.934998,958.609985,907.557983,304517
2018-05-10,958.969971,980.067017,946.536011,951.158997,900.503784,699036
2018-05-11,953.403992,957.398010,944.875000,950.710022,900.078735,221261
2018-05-14,956.096985,962.067017,936.705994,942.182007,892.004883,339100
2018-05-15,943.258972,959.687988,929.927979,941.463989,891.325073,425485
2018-05-16,939.892029,941.732971,922.745972,932.036987,882.400146,324392
2018-05-17,937.603027,942.630981,909.728027,916.013000,867.229553,623096
2018-05-18,917.044983,924.495972,904.520996,915.249023,866.506226,491998
2018-05-21,915.697998,923.643005,892.221985,905.643982,857.412720,342053
2018-05-22,903.219971,917.000000,894.377014,913.544006,864.892029,293552
2018-05-23,915.205017,936.705994,894.512024,906.406982,858.135071,1383777
2018-05-24,914.801025,922.835022,895.094971,916.192017,867.398987,442512
2018-05-25,919.109985,942.226990,919.109985,934.505981,884.737671,446500
2018-05-28,938.905029,950.171997,926.471008,939.981995,889.922058,368871
2018-05-29,941.732971,944.426025,906.989990,922.969971,873.815979,386456
2018-05-30,921.085022,938.859985,912.421997,929.343994,879.850586,292881
2018-05-31,931.947021,938.052002,908.695984,915.070007,866.336792,302339
2018-06-01,919.289001,941.732971,911.882996,925.439026,876.153564,550296
2018-06-04,928.267029,936.346008,899.583984,902.726013,854.650146,337128
2018-06-05,901.333984,903.757996,875.299988,883.648987,836.589111,413835
2018-06-06,883.648987,913.005005,881.135010,904.835999,856.647766,367351
2018-06-07,913.903015,917.135010,902.142029,906.900024,858.601929,235771
2018-06-08,898.640991,910.312012,894.151978,898.551025,850.697510,316297
2018-06-11,900.437012,912.421997,895.588989,901.872986,853.842529,387229
2018-06-12,903.085022,905.554016,896.531006,898.866028,850.995728,190240
2018-06-13,900.346985,908.427002,897.383972,901.379028,853.374939,341076
2018-06-14,900.392029,903.533997,889.034973,900.392029,852.440491,344499
2018-06-15,899.494019,906.630981,887.554016,891.862976,844.365662,507315
2018-06-18,889.664001,891.458984,875.390015,878.351990,831.574158,196844
2018-06-19,868.163025,873.549011,840.288025,843.968994,799.022278,887288
2018-06-20,843.879028,855.460022,839.255005,847.919006,802.761963,804970
2018-06-21,852.765991,865.604004,852.093018,857.210022,811.558167,297044
2018-06-22,858.242981,873.234985,850.612000,867.804016,821.587952,183578
2018-06-25,866.995972,874.177979,855.101013,856.986023,811.346130,146603
2018-06-26,851.060974,867.624023,847.020996,860.666992,814.831055,164583
2018-06-27,860.890991,860.890991,825.968994,834.317993,789.885315,438627
2018-06-28,829.065979,834.901001,788.309021,792.572998,750.363464,750967
2018-06-29,796.343018,824.127991,796.297974,818.786987,775.181396,423612
2018-07-02,823.140991,826.822021,794.593018,803.120972,760.349731,346298
2018-07-03,803.120972,807.205994,790.059021,799.440979,756.865723,227250
2018-07-04,803.883972,807.026001,784.627991,789.072021,747.048950,336905
2018-07-05,794.952026,826.687012,794.278992,817.306030,773.779297,954013
2018-07-06,820.536987,825.429993,809.765015,819.056030,775.436157,408382
2018-07-09,821.390015,841.051025,821.390015,833.645020,789.248169,430234
2018-07-10,837.594971,840.557007,827.135986,831.893982,787.590393,196487
2018-07-11,831.309998,835.708984,812.098999,818.247986,774.671143,207649
2018-07-12,825.205994,835.799011,800.068970,806.533020,763.580017,317796
2018-07-13,807.968994,819.594971,794.952026,813.130981,769.826599,291901
2018-07-16,813.356018,823.994019,791.809998,795.401001,753.040894,395829
2018-07-17,791.539978,809.765015,781.036987,805.590027,762.687317,687375
2018-07-18,807.968994,814.252991,787.724976,793.830017,751.553589,291989
2018-07-19,794.054016,806.039001,790.463013,794.638000,752.318481,308806
2018-07-20,794.502991,800.786987,783.460999,795.580017,753.210388,272997
2018-07-23,795.580017,800.697021,782.382996,793.604980,751.340515,346651
2018-07-24,796.747009,831.309998,790.911987,828.078979,783.978577,970630
2018-07-25,833.015991,833.106018,817.395020,821.210999,777.476318,216100
2018-07-26,820.851990,831.669006,800.068970,816.317993,772.843933,1716825
